ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","22-Mar-2024","1,554.70","1,521.00","1,528.90","1,498.20","1,511.45","1,508.85","1,513.20","1,46,73,890","22,20,45,70,809.45","5,12,162","73,29,137","49.95"
"INFY","EQ","26-Mar-2024","1,508.85","1,492.00","1,507.45","1,487.90","1,495.00","1,492.65","1,495.68","83,51,081","12,49,05,45,025.35","3,07,407","58,58,829","70.16"
"INFY","EQ","27-Mar-2024","1,492.65","1,496.00","1,499.00","1,481.55","1,487.15","1,483.85","1,489.96","68,57,402","10,21,72,37,548.90","2,27,899","48,85,357","71.24"
"INFY","EQ","28-Mar-2024","1,483.85","1,487.15","1,511.80","1,487.15","1,495.25","1,498.05","1,502.78","1,24,99,530","18,78,40,20,019.00","2,88,652","65,51,454","52.41"
"INFY","EQ","01-Apr-2024","1,498.05","1,525.00","1,529.95","1,492.80","1,497.50","1,495.45","1,505.46","65,80,002","9,90,59,17,258.20","2,33,368","37,80,879","57.46"
"INFY","EQ","02-Apr-2024","1,495.45","1,484.85","1,493.15","1,480.85","1,483.90","1,482.85","1,484.83","72,79,400","10,80,87,00,023.30","2,16,472","55,02,486","75.59"
"INFY","EQ","03-Apr-2024","1,482.85","1,479.00","1,495.10","1,475.00","1,480.60","1,480.65","1,485.37","87,36,248","12,97,65,30,261.30","2,06,909","59,05,070","67.59"
"INFY","EQ","04-Apr-2024","1,480.65","1,490.55","1,495.65","1,468.00","1,489.00","1,486.70","1,481.80","1,11,86,915","16,57,67,57,070.95","3,13,152","52,87,105","47.26"
"INFY","EQ","05-Apr-2024","1,486.70","1,480.05","1,486.70","1,476.05","1,480.40","1,479.10","1,480.24","50,72,482","7,50,84,74,798.80","1,51,929","29,39,200","57.94"
"INFY","EQ","08-Apr-2024","1,479.10","1,483.00","1,490.95","1,474.10","1,475.50","1,476.70","1,480.51","66,10,887","9,78,75,17,054.25","1,82,211","51,52,016","77.93"
"INFY","EQ","09-Apr-2024","1,476.70","1,490.00","1,513.80","1,487.30","1,497.25","1,494.85","1,501.10","94,23,230","14,14,51,82,659.45","2,21,885","56,71,574","60.19"
"INFY","EQ","10-Apr-2024","1,494.85","1,500.35","1,509.85","1,484.55","1,506.50","1,506.80","1,500.18","67,44,595","10,11,81,34,819.35","2,31,665","42,77,073","63.41"
"INFY","EQ","12-Apr-2024","1,506.80","1,504.00","1,506.80","1,479.50","1,484.85","1,484.75","1,491.90","1,22,75,616","18,31,39,54,690.15","3,29,470","74,44,467","60.64"
"INFY","EQ","15-Apr-2024","1,484.75","1,480.00","1,491.95","1,461.05","1,467.25","1,468.15","1,471.43","85,31,224","12,55,30,72,127.80","2,79,992","50,94,820","59.72"
"INFY","EQ","16-Apr-2024","1,468.15","1,451.00","1,455.15","1,413.05","1,415.20","1,414.45","1,426.60","1,61,73,541","23,07,31,44,617.70","4,98,463","1,13,70,535","70.30"
"INFY","EQ","18-Apr-2024","1,414.45","1,421.10","1,444.70","1,407.50","1,429.50","1,419.25","1,422.24","2,21,07,945","31,44,28,52,348.50","3,80,213","1,27,59,873","57.72"
"INFY","EQ","19-Apr-2024","1,419.25","1,385.00","1,426.85","1,378.75","1,411.95","1,411.25","1,400.77","2,06,03,621","28,86,09,39,169.90","4,91,788","1,14,59,010","55.62"
